"year_month","customer_id","monthly_rfm_score","segment"
"2017-12-01 00:00:00+07","CC-12430","143","Lost Customers"
"2017-12-01 00:00:00+07","JM-15580","155","Lost Customers"
"2017-12-01 00:00:00+07","EB-13975","134","Lost Customers"
"2017-12-01 00:00:00+07","PO-18865","112","High Value"
"2017-12-01 00:00:00+07","BP-11185","112","High Value"
"2017-12-01 00:00:00+07","MC-17845","121","Lost Customers"
"2017-12-01 00:00:00+07","KH-16360","111","High Value"
"2017-12-01 00:00:00+07","JG-15160","122","Lost Customers"
"2017-12-01 00:00:00+07","BS-11755","124","Lost Customers"
"2017-12-01 00:00:00+07","KB-16600","113","High Value"
"2017-12-01 00:00:00+07","EH-14005","123","Lost Customers"
"2017-12-01 00:00:00+07","PC-18745","155","Lost Customers"
"2017-12-01 00:00:00+07","JG-15310","121","Lost Customers"
"2017-12-01 00:00:00+07","KH-16690","131","Lost Customers"
"2017-12-01 00:00:00+07","GH-14665","133","Lost Customers"
"2017-12-01 00:00:00+07","JF-15415","113","High Value"
"2017-12-01 00:00:00+07","LO-17170","113","High Value"
"2017-12-01 00:00:00+07","CS-12400","135","Lost Customers"
"2017-12-01 00:00:00+07","HM-14860","155","Lost Customers"
"2017-12-01 00:00:00+07","SV-20935","112","High Value"
"2017-12-01 00:00:00+07","DR-12880","133","Lost Customers"
"2017-12-01 00:00:00+07","KB-16240","155","Lost Customers"
"2017-12-01 00:00:00+07","YC-21895","131","Lost Customers"
"2017-12-01 00:00:00+07","TC-21535","134","Lost Customers"
"2017-12-01 00:00:00+07","PO-18850","144","Lost Customers"
"2017-12-01 00:00:00+07","GA-14725","113","High Value"
"2017-12-01 00:00:00+07","RA-19285","122","Lost Customers"
"2017-12-01 00:00:00+07","JH-15430","133","Lost Customers"
"2017-12-01 00:00:00+07","MH-18115","111","High Value"
"2017-12-01 00:00:00+07","JW-15955","122","Lost Customers"
"2017-12-01 00:00:00+07","CV-12805","144","Lost Customers"
"2017-12-01 00:00:00+07","GD-14590","155","Lost Customers"
"2017-12-01 00:00:00+07","FH-14365","122","Lost Customers"
"2017-12-01 00:00:00+07","RF-19840","154","Lost Customers"
"2017-12-01 00:00:00+07","NC-18535","112","High Value"
"2017-12-01 00:00:00+07","CS-12355","122","Lost Customers"
"2017-12-01 00:00:00+07","DP-13105","134","Lost Customers"
"2017-12-01 00:00:00+07","AH-10210","131","Lost Customers"
"2017-12-01 00:00:00+07","HG-15025","122","Lost Customers"
"2017-12-01 00:00:00+07","AC-10615","154","Lost Customers"
"2017-12-01 00:00:00+07","RM-19675","131","Lost Customers"
"2017-12-01 00:00:00+07","AR-10540","155","Lost Customers"
"2017-12-01 00:00:00+07","NS-18505","143","Lost Customers"
"2017-12-01 00:00:00+07","JL-15175","121","Lost Customers"
"2017-12-01 00:00:00+07","MM-17920","114","High Value"
